DateTime	Open	High	Low	Close	Volume
2024-02-02 09:15:00+05:30	46568.2	46645.45	46501.1	46642.75	0
2024-02-02 09:20:00+05:30	46663.7	46695.0	46641.95	46694.65	0
2024-02-02 09:25:00+05:30	46691.05	46695.45	46612.65	46621.0	0
2024-02-02 09:30:00+05:30	46624.95	46650.35	46583.25	46629.95	0
2024-02-02 09:35:00+05:30	46638.85	46646.6	46534.5	46590.05	0
2024-02-02 09:40:00+05:30	46589.55	46614.45	46559.05	46605.5	0
2024-02-02 09:45:00+05:30	46606.95	46612.9	46540.1	46583.4	0
2024-02-02 09:50:00+05:30	46584.4	46624.05	46576.6	46608.3	0
2024-02-02 09:55:00+05:30	46608.15	46618.55	46564.25	46594.85	0
2024-02-02 10:00:00+05:30	46589.55	46651.4	46589.55	46637.55	0
2024-02-02 10:05:00+05:30	46632.15	46653.35	46606.9	46623.9	0
2024-02-02 10:10:00+05:30	46619.4	46630.55	46596.2	46612.0	0
2024-02-02 10:15:00+05:30	46611.85	46611.85	46535.3	46554.55	0
2024-02-02 10:20:00+05:30	46554.65	46572.4	46503.35	46540.05	0
2024-02-02 10:25:00+05:30	46543.65	46578.1	46526.8	46549.05	0
2024-02-02 10:30:00+05:30	46554.15	46568.55	46480.65	46497.85	0
2024-02-02 10:35:00+05:30	46496.55	46518.3	46473.5	46482.7	0
2024-02-02 10:40:00+05:30	46484.95	46500.05	46433.25	46498.45	0
2024-02-02 10:45:00+05:30	46498.85	46510.8	46471.4	46471.5	0
2024-02-02 10:50:00+05:30	46471.65	46489.9	46465.15	46479.25	0
2024-02-02 10:55:00+05:30	46480.4	46500.8	46460.0	46471.95	0
2024-02-02 11:00:00+05:30	46473.7	46497.85	46440.9	46479.75	0
2024-02-02 11:05:00+05:30	46478.5	46481.15	46415.5	46441.55	0
2024-02-02 11:10:00+05:30	46444.65	46606.85	46440.5	46583.0	0
2024-02-02 11:15:00+05:30	46577.0	46641.05	46577.0	46603.15	0
2024-02-02 11:20:00+05:30	46609.8	46622.45	46590.45	46610.55	0
2024-02-02 11:25:00+05:30	46612.15	46644.2	46590.45	46624.25	0
2024-02-02 11:30:00+05:30	46629.9	46822.3	46628.8	46808.25	0
2024-02-02 11:35:00+05:30	46813.4	46864.25	46786.0	46853.35	0
2024-02-02 11:40:00+05:30	46851.45	46890.5	46802.85	46808.25	0
2024-02-02 11:45:00+05:30	46813.25	46839.45	46778.55	46795.2	0
2024-02-02 11:50:00+05:30	46795.5	46813.9	46755.8	46778.3	0
2024-02-02 11:55:00+05:30	46777.7	46822.75	46769.4	46794.55	0
2024-02-02 12:00:00+05:30	46799.45	46822.4	46792.85	46810.5	0
2024-02-02 12:05:00+05:30	46808.65	46814.6	46735.15	46761.25	0
2024-02-02 12:10:00+05:30	46763.2	46770.4	46726.85	46744.5	0
2024-02-02 12:15:00+05:30	46743.3	46755.3	46708.0	46738.7	0
2024-02-02 12:20:00+05:30	46740.0	46744.1	46652.35	46652.35	0
2024-02-02 12:25:00+05:30	46661.6	46698.3	46492.55	46494.4	0
2024-02-02 12:30:00+05:30	46497.05	46497.05	46311.4	46468.85	0
2024-02-02 12:35:00+05:30	46471.15	46495.7	46324.85	46492.6	0
2024-02-02 12:40:00+05:30	46500.5	46536.15	46453.35	46515.55	0
2024-02-02 12:45:00+05:30	46518.5	46519.8	46391.9	46406.6	0
2024-02-02 12:50:00+05:30	46408.75	46491.45	46359.35	46449.3	0
2024-02-02 12:55:00+05:30	46451.0	46473.55	46413.65	46415.3	0
2024-02-02 13:00:00+05:30	46410.9	46466.7	46364.35	46453.55	0
2024-02-02 13:05:00+05:30	46448.35	46456.1	46343.75	46349.9	0
2024-02-02 13:10:00+05:30	46352.35	46397.25	46234.2	46254.7	0
2024-02-02 13:15:00+05:30	46252.55	46368.55	46217.7	46323.85	0
2024-02-02 13:20:00+05:30	46325.95	46325.95	46215.35	46215.35	0
2024-02-02 13:25:00+05:30	46214.95	46265.5	46170.65	46259.15	0
2024-02-02 13:30:00+05:30	46255.9	46264.85	46133.0	46222.35	0
2024-02-02 13:35:00+05:30	46224.35	46307.05	46214.25	46305.9	0
2024-02-02 13:40:00+05:30	46302.2	46316.2	46202.9	46218.6	0
2024-02-02 13:45:00+05:30	46221.7	46270.35	46199.2	46206.95	0
2024-02-02 13:50:00+05:30	46211.9	46266.6	46174.7	46256.1	0
2024-02-02 13:55:00+05:30	46255.45	46276.85	46235.55	46261.0	0
2024-02-02 14:00:00+05:30	46258.5	46296.7	46219.75	46224.75	0
2024-02-02 14:05:00+05:30	46237.65	46334.55	46230.0	46327.4	0
2024-02-02 14:10:00+05:30	46329.6	46352.35	46269.9	46307.85	0
2024-02-02 14:15:00+05:30	46309.1	46327.25	46269.3	46274.6	0
2024-02-02 14:20:00+05:30	46273.65	46302.2	46237.35	46298.6	0
2024-02-02 14:25:00+05:30	46302.1	46342.9	46246.95	46255.55	0
2024-02-02 14:30:00+05:30	46256.05	46287.4	46227.1	46253.9	0
2024-02-02 14:35:00+05:30	46258.2	46318.8	46241.05	46263.1	0
2024-02-02 14:40:00+05:30	46260.0	46317.5	46249.6	46306.3	0
2024-02-02 14:45:00+05:30	46304.65	46331.0	46263.15	46273.25	0
2024-02-02 14:50:00+05:30	46277.8	46286.4	46065.2	46108.0	0
2024-02-02 14:55:00+05:30	46110.7	46131.2	46018.85	46081.65	0
2024-02-02 15:00:00+05:30	46078.25	46133.45	45943.05	46001.0	0
2024-02-02 15:05:00+05:30	46002.5	46051.65	45975.0	46012.35	0
2024-02-02 15:10:00+05:30	46017.75	46031.65	45954.85	45963.8	0
2024-02-02 15:15:00+05:30	45962.65	45977.8	45916.35	45954.5	0
2024-02-02 15:20:00+05:30	45956.7	45959.7	45912.85	45936.0	0
2024-02-02 15:25:00+05:30	45933.55	45955.7	45906.9	45954.65	0
